"Vehicle No.","Vehicle Type","Contact Number","IN Time","Expected OUT Time","Pricing","Payment Method","Total","Total Time (in hrs)"
"8048","Bike","","2023-02-07 07:09:03","2023-02-07 07:09:03","8.48","","0","0"
"3530","Car","","2023-02-07 07:08:54","2023-02-07 07:08:54","16.96","","0","0"
"6518","Bike","","2023-02-07 07:08:46","2023-02-07 07:08:46","8.48","","0","0"
"3560","Car","","2023-02-07 07:08:32","2023-02-07 07:08:32","16.96","","0","0"
"3169","Car","","2023-02-07 07:01:37","2023-02-07 07:08:11","16.96","CashPayment","20.01","0.1095375"
"3633","Bike","","2023-02-07 07:06:48","2023-02-07 07:06:48","8.48","","0","0"
"3169","Car","","2023-02-07 07:06:19","2023-02-07 07:06:47","101.7","CashPayment","120.01","0.007508333333333333"
"3458","Bike","","2023-02-07 07:05:56","2023-02-07 07:05:56","8.48","","0","0"
"6579","Bike","","2023-02-07 07:04:44","2023-02-07 07:04:44","8.48","","0","0"
"1056","Bike","","2023-02-07 07:03:51","2023-02-07 07:03:51","8.48","","0","0"
"9413","Bike","","2023-02-07 07:03:36","2023-02-07 07:03:36","8.48","","0","0"
"3529","Bike","","2023-02-07 07:03:26","2023-02-07 07:03:26","8.48","","0","0"
"2737","Bike","","2023-02-07 07:02:02","2023-02-07 07:02:02","8.48","","0","0"
"0191","Car","","2023-02-07 07:01:20","2023-02-07 07:01:20","16.96","","0","0"
"3815","Bike","","2023-02-06 22:31:55","2023-02-07 07:00:37","8.48","CashPayment","70.04","8.478339722222222"
"3990","Car","","2023-02-07 06:59:04","2023-02-07 06:59:04","16.96","","0","0"
"6221","Car","","2023-02-07 06:58:52","2023-02-07 06:58:52","16.96","","0","0"
"8016","Bike","","2023-02-07 06:58:04","2023-02-07 06:58:04","67.8","","0","0"
"7848","Car","","2023-02-06 23:53:24","2023-02-07 06:57:58","16.96","CashPayment","60.04","7.0762688888888885"
"2684","Bike","","2023-02-07 06:57:40","2023-02-07 06:57:40","8.48","","0","0"
"5068","Car","","2023-02-07 06:57:29","2023-02-07 06:57:29","16.96","","0","0"
"6283","Car","","2023-02-07 06:56:18","2023-02-07 06:56:37","101.7","CashPayment","120.01","0.005312777777777777"
"1311","Bike","","2023-02-07 06:56:30","2023-02-07 06:56:30","8.48","","0","0"
"0494","Car","","2023-02-07 06:55:32","2023-02-07 06:55:32","16.96","","0","0"
"8156","Bike","","2023-02-07 06:53:49","2023-02-07 06:53:49","8.48","","0","0"
"1197","Car","","2023-02-07 06:53:17","2023-02-07 06:53:17","16.96","","0","0"
"9719","Car","","2023-02-07 06:51:24","2023-02-07 06:51:41","101.7","CashPayment","120.01","0.004589166666666667"
"8701","Bike","","2023-02-07 06:50:26","2023-02-07 06:50:26","8.48","","0","0"
"8150","Bike","","2023-02-07 06:49:04","2023-02-07 06:49:04","8.48","","0","0"
"7921","Bike","","2023-02-07 06:47:45","2023-02-07 06:47:45","8.48","","0","0"
"0890","Car","","2023-02-06 19:38:20","2023-02-07 06:47:17","16.96","CashPayment","110.07","11.149053055555555"
"7676","Bike","","2023-02-07 06:46:09","2023-02-07 06:46:09","8.48","","0","2.7777777777777776e-7"
"6591","Bike","","2023-02-07 06:43:40","2023-02-07 06:43:40","8.48","","0","0"
"0535","Bike","","2023-02-07 06:43:31","2023-02-07 06:43:31","8.48","","0","0"
"8294","Bike","","2023-02-07 06:41:23","2023-02-07 06:41:23","8.48","","0","0"
"5106","Bike","","2023-02-07 06:39:21","2023-02-07 06:39:21","8.48","","0","0"
"2269","Car","","2023-02-07 06:35:49","2023-02-07 06:35:49","16.96","","0","0"
"4438","Car","","2023-02-07 06:34:38","2023-02-07 06:34:38","16.96","","0","0"
"4061","Bike","","2023-02-07 06:33:41","2023-02-07 06:33:52","67.8","CashPayment","80","0.003054722222222222"
"1061","Bike","","2023-02-07 06:33:06","2023-02-07 06:33:06","8.48","","0","0"
"2888","Bike","","2023-02-07 06:31:36","2023-02-07 06:31:36","8.48","","0","0"
"3545","Car","","2023-02-07 06:31:09","2023-02-07 06:31:24","101.7","CashPayment","120.01","0.0041066666666666665"
"0413","Bike","","2023-02-06 20:58:55","2023-02-07 06:31:06","8.48","CashPayment","80.02","9.536584444444445"
"7846","Bike","","2023-02-07 03:54:43","2023-02-07 06:30:21","8.48","CashPayment","20.01","2.593988611111111"
"8596","Car","","2023-02-06 19:00:47","2023-02-07 06:30:14","16.96","CashPayment","110.07","11.490755"
"6778","Car","","2023-02-07 06:26:30","2023-02-07 06:26:30","16.96","","0","0"
"6522","Bike","","2023-02-06 21:14:16","2023-02-07 06:25:38","8.48","CashPayment","80.02","9.189519722222222"
"6574","Bike","","2023-02-07 06:23:10","2023-02-07 06:23:28","67.8","CashPayment","80","0.0047552777777777775"
"2580","Bike","","2023-02-07 06:21:36","2023-02-07 06:21:36","8.48","","0","0"
"9282","Bike","","2023-02-07 06:21:25","2023-02-07 06:21:25","8.48","","0","0"